                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 2.0691,                 2.3391,                 1.9527,                 1.7239,                0.41406,                0.26042,                0.23002,                0.11406,                0.44918,                0.29825,                0.25655,                0.10772,                 2.3131,                 2.6197,                 2.2938,                 2.2115,              0.0003566,              0.0003566,              0.0003566
                     86,                 2.1055,                 2.5736,                 2.2625,                 1.6699,                0.47003,                 0.2807,                 0.2677,                0.12888,                0.40119,                0.26316,                0.26969,                0.10957,                 2.2756,                 2.5794,                 2.3815,                 2.2047,              0.0003368,              0.0003368,              0.0003368
                     87,                 2.0581,                 2.6086,                 1.9547,                 1.5274,                0.34974,                0.29825,                0.26979,                0.12022,                0.34085,                0.29825,                0.28493,                0.11591,                 2.2381,                 2.7028,                 2.1951,                 2.2037,               0.000317,               0.000317,               0.000317
                     88,                 2.0593,                 2.4604,                 2.0975,                 1.5886,                0.35377,                0.33333,                0.25426,                0.11847,                0.30293,                0.33333,                0.26546,                0.11699,                 2.3125,                 2.5195,                 1.9077,                 2.2065,              0.0002972,              0.0002972,              0.0002972
                     89,                  1.989,                 2.4142,                 1.9461,                 1.5895,                 0.3163,                0.24561,                0.24115,                0.11862,                0.30223,                0.24561,                0.26104,                0.10138,                 2.3003,                 2.5935,                 2.2311,                 2.2153,              0.0002774,              0.0002774,              0.0002774
                     90,                 2.0806,                 2.4972,                 2.2117,                 1.5988,                  0.316,                0.29825,                 0.2556,                0.11306,                0.35374,                0.31579,                0.27803,                0.11429,                 2.2876,                 2.5932,                 1.9279,                 2.2244,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.9016,                 2.3532,                 2.1712,                 1.6185,                0.32918,                0.22807,                0.25934,                0.12366,                0.33853,                 0.2874,                0.29421,                0.11608,                 2.2582,                 2.5867,                 2.2397,                 2.1869,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.9971,                  2.283,                 2.1872,                 1.5979,                0.32044,                0.29825,                0.25115,                0.11198,                0.32044,                0.29825,                0.29297,                0.11743,                 2.2779,                 2.5493,                 2.5034,                 2.2223,               0.000218,               0.000218,               0.000218
                     93,                 1.9831,                 2.3785,                  2.064,                 1.5657,                0.29786,                0.31579,                0.26062,                0.13604,                0.32969,                0.35088,                0.31327,                0.12731,                 2.2246,                 2.4703,                 2.2513,                 2.2327,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.9579,                 2.3365,                 1.8815,                 1.5011,                0.64298,                0.19298,                0.26571,                 0.1261,                0.55205,                0.22807,                0.30563,                0.12845,                 2.1543,                 2.5186,                 2.1086,                 2.1302,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.9282,                 2.4165,                 2.0927,                 1.4827,                0.39613,                0.22807,                 0.2544,                0.11136,                 0.6194,                0.17544,                0.26088,                  0.097,                 2.1753,                 2.5162,                 2.1104,                 2.1263,              0.0001586,              0.0001586,              0.0001586
                     96,                 2.0146,                 2.3036,                 2.0878,                 1.5207,                0.39079,                0.22807,                0.23177,                 0.1126,                 0.4112,                0.24561,                0.25672,                0.09903,                 2.1342,                 2.5401,                 2.1713,                 2.0919,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.9789,                 2.2919,                 1.9938,                 1.5837,                 0.3256,                0.25421,                0.23187,                0.11543,                0.31543,                0.26316,                0.24871,                0.09962,                 2.1578,                 2.5486,                 2.1983,                 2.1082,               0.000119,               0.000119,               0.000119
                     98,                 1.8805,                 2.2043,                 1.9792,                 1.6358,                0.42224,                0.21053,                0.23021,                0.11572,                 0.3895,                0.22807,                0.25783,                0.09723,                 2.2127,                 2.5223,                 2.1643,                 2.1166,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.8801,                  2.228,                 1.9898,                 1.6439,                0.34222,                0.22807,                0.22713,                0.11924,                 0.4008,                0.22807,                0.25261,                0.09803,                 2.2009,                  2.501,                 2.1418,                 2.1274,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.8103,                 2.1227,                 1.8897,                  1.575,                0.34261,                0.24561,                0.23393,                0.12487,                0.36554,                0.24561,                0.26518,                0.10555,                 2.2093,                 2.5014,                 2.0431,                 2.1318,               5.96e-05,               5.96e-05,               5.96e-05
